seller_id,avg_score,median_score,n_orders,pct_negative,seller_state,seller_city,flag
0725b8c0f3f906e58f70cbe76b7c748c,3.5625,5.0,16,31.25,SP,guarulhos,False
0743a0239d764b9a0f959a57d07e36ab,4.75,5.0,4,0.0,SP,sao paulo,False
0747d5bb69f0586cc869d8af4c50f93e,3.75,4.5,12,25.0,RJ,saquarema,False
0761743cbffb25d7148189e9f1a5f03a,4.666666666666667,5.0,3,0.0,SP,ribeirao preto,False
077c5fae4bea9500e3737b16f71b9d3a,4.5,5.0,4,0.0,SP,sorocaba,False
0791d9fc1e30678ecf03d3e55fa108d3,4.0,5.0,5,20.0,MG,belo horizonte,False
079d295dcbf06ee8bb1b65ba964eb2b6,4.6,5.0,5,0.0,SP,sao paulo,False
07a9bc7f61396b658ddf3ac534efe44c,3.0,3.0,1,0.0,SP,sao paulo,False
07bf9669d84d1f11be443a9dd938f698,3.7222222222222223,4.5,18,27.77777777777778,SP,sao paulo,False
07d75e33f2750d97d467fb57e4dfdd8a,2.5,2.5,2,50.0,SP,sao paulo,False
07de60b03d150fb3ea09eab5da5e4c8b,4.75,5.0,8,0.0,SP,ibitinga,False
07e8e8fc5222bb358e6f259da3197074,4.0,4.0,2,0.0,SP,sao paulo,False
080102cd0a76b09e0dcf55fcacc60e05,4.541666666666667,5.0,120,3.3333333333333335,MG,belo horizonte,False
080199a181c46c657dc5aa235411be3b,4.615384615384615,5.0,78,1.282051282051282,SP,osasco,False
08061dc0fc165ed41288cc7acde738ee,4.5,5.0,4,0.0,SP,osasco,False
08084d990eb3f53af056ccbc1730c8a7,4.4,5.0,10,0.0,SP,sao paulo,False
081acf3de680d554796c9cf041be7bc2,4.0,4.0,3,0.0,MG,vespasiano,False
082e0bf4cb865a6533b1e8e498cc0255,3.272727272727273,4.0,11,36.36363636363637,SP,botucatu,False
085f6f7e049c996695fb2074fe38d45e,4.0,4.5,6,16.666666666666664,SP,taubate,False
08633c14ef2db992c11f840f04fad4cd,4.394366197183099,5.0,71,7.042253521126761,SP,ribeirao pires,False
0873d9f8f36123f8d910f4760e788cfb,3.6,4.0,5,20.0,SP,barueri,False
0885aaf116795758dfeb5f1032487bcd,4.4,5.0,25,8.0,SP,ferraz de vasconcelos,False
0887a9f087bcd5d9f6642b52f897fc6c,4.416666666666667,5.0,12,0.0,SP,cananeia,False
08ad4ac1388e4420ca531c3edfc46198,2.8333333333333335,2.5,6,50.0,SP,itapevi,False
08cdbae123ff67ca4e36d9d641ce0119,3.25,3.5,4,50.0,MG,uba,False
08d0949a9a17c027262db1f3c450c26c,3.909090909090909,5.0,11,18.181818181818183,PR,cascavel,False
08d1c9478fb0d7d7fcac9c0da4e82fc7,5.0,5.0,1,0.0,MG,belo horizonte,False
08d2d642cf72b622b14dde1d2f5eb2f5,4.3125,5.0,16,0.0,SP,marilia,False
